09-April-23 21:06:51 - INFO:  del_multiple:0.005980023182928562
09-April-23 21:06:52 - INFO:  del_multiple:0.005824165418744087
09-April-23 21:06:52 - INFO:  del_multiple:0.005982481874525547
09-April-23 21:06:52 - INFO:  del_multiple:0.006004871800541878
09-April-23 21:06:52 - INFO:  del_multiple:0.005888824351131916
09-April-23 21:06:52 - INFO:  del_multiple:0.006015826016664505
09-April-23 21:06:52 - INFO:  del_multiple:0.006036080420017242
09-April-23 21:06:52 - INFO:  del_multiple:0.005984591320157051
09-April-23 21:06:52 - INFO:  del_multiple:0.006013510748744011
09-April-23 21:06:52 - INFO:  del_multiple:0.005956494249403477
09-April-23 21:06:52 - INFO:  del_multiple:0.005965707823634148
09-April-23 21:06:53 - INFO:  del_multiple:0.00598520040512085
09-April-23 21:06:53 - INFO:  del_multiple:0.0058357613161206245
09-April-23 21:06:53 - INFO:  del_multiple:0.00594186969101429
09-April-23 21:06:53 - INFO:  del_multiple:0.006026050075888634
09-April-23 21:06:53 - INFO:  del_multiple:0.006025334820151329
09-April-23 21:06:53 - INFO:  del_multiple:0.006045849062502384
09-April-23 21:06:53 - INFO:  del_multiple:0.0059650614857673645
09-April-23 21:06:53 - INFO:  del_multiple:0.005761395208537579
09-April-23 21:06:53 - INFO:  del_multiple:0.005906781181693077
09-April-23 21:06:53 - INFO:  del_multiple:0.005720437504351139
09-April-23 21:06:53 - INFO:  del_multiple:0.006029100157320499
09-April-23 21:06:53 - INFO:  del_multiple:0.006062994711101055
09-April-23 21:06:53 - INFO:  del_multiple:0.005886663682758808
09-April-23 21:06:53 - INFO:  del_multiple:0.0059773242101073265
09-April-23 21:06:54 - INFO:  del_multiple:0.006005855277180672
09-April-23 21:06:54 - INFO:  del_multiple:0.00594912376254797
09-April-23 21:06:54 - INFO:  del_multiple:0.0057269250974059105
09-April-23 21:06:54 - INFO:  del_multiple:0.0058656660839915276
09-April-23 21:06:55 - INFO:  del_multiple:0.005576525814831257
09-April-23 21:06:55 - INFO:  del_multiple:0.005879946984350681
09-April-23 21:06:55 - INFO:  del_multiple:0.005987710319459438
09-April-23 21:06:55 - INFO:  del_multiple:0.006022081710398197
09-April-23 21:06:55 - INFO:  del_multiple:0.005991816520690918
09-April-23 21:06:55 - INFO:  del_multiple:0.00580500066280365
09-April-23 21:06:55 - INFO:  del_multiple:0.005984489805996418
09-April-23 21:06:55 - INFO:  del_multiple:0.006020521745085716
09-April-23 21:06:56 - INFO:  del_multiple:0.005847863852977753
09-April-23 21:06:56 - INFO:  del_multiple:0.005944355390965939
09-April-23 21:06:56 - INFO:  del_multiple:0.00584755465388298
09-April-23 21:06:56 - INFO:  del_multiple:0.005967964418232441
09-April-23 21:06:56 - INFO:  del_multiple:0.005984359420835972
09-April-23 21:06:57 - INFO:  del_multiple:0.006009494885802269
09-April-23 21:06:57 - INFO:  del_multiple:0.005901600234210491
09-April-23 21:06:57 - INFO:  del_multiple:0.005953505635261536
09-April-23 21:06:57 - INFO:  del_multiple:0.005724874325096607
